[2018-05-08 08:45:19,585][INFO] ## 2018-05-08T08:45:19.575065: step 1, loss 73.8787, acc 0.171875
[2018-05-08 08:45:21,351][INFO] ## 2018-05-08T08:45:21.351435: step 2, loss 72.024, acc 0.40625
[2018-05-08 08:45:22,105][INFO] ## 2018-05-08T08:45:22.105018: step 3, loss 74.9639, acc 0.1875
[2018-05-08 08:45:22,855][INFO] ## 2018-05-08T08:45:22.855418: step 4, loss 72.712, acc 0.265625
[2018-05-08 08:45:23,611][INFO] ## 2018-05-08T08:45:23.611619: step 5, loss 71.7769, acc 0.3125
[2018-05-08 08:45:24,354][INFO] ## 2018-05-08T08:45:24.354917: step 6, loss 70.4266, acc 0.3125
[2018-05-08 08:45:25,111][INFO] ## 2018-05-08T08:45:25.111235: step 7, loss 72.061, acc 0.265625
[2018-05-08 08:45:25,856][INFO] ## 2018-05-08T08:45:25.856972: step 8, loss 71.3595, acc 0.265625
[2018-05-08 08:45:26,630][INFO] ## 2018-05-08T08:45:26.630861: step 9, loss 72.3772, acc 0.296875
[2018-05-08 08:45:27,394][INFO] ## 2018-05-08T08:45:27.394026: step 10, loss 74.1838, acc 0.171875
[2018-05-08 08:45:28,157][INFO] ## 2018-05-08T08:45:28.157460: step 11, loss 70.526, acc 0.328125
[2018-05-08 08:45:28,911][INFO] ## 2018-05-08T08:45:28.911630: step 12, loss 69.8062, acc 0.296875
[2018-05-08 08:45:29,672][INFO] ## 2018-05-08T08:45:29.672050: step 13, loss 71.2518, acc 0.28125
[2018-05-08 08:45:30,424][INFO] ## 2018-05-08T08:45:30.424095: step 14, loss 71.2249, acc 0.25
[2018-05-08 08:45:31,167][INFO] ## 2018-05-08T08:45:31.167536: step 15, loss 69.9234, acc 0.3125
[2018-05-08 08:45:31,921][INFO] ## 2018-05-08T08:45:31.921033: step 16, loss 68.7029, acc 0.375
[2018-05-08 08:45:32,668][INFO] ## 2018-05-08T08:45:32.668457: step 17, loss 71.3414, acc 0.265625
[2018-05-08 08:45:33,421][INFO] ## 2018-05-08T08:45:33.421224: step 18, loss 70.5494, acc 0.296875
[2018-05-08 08:45:34,184][INFO] ## 2018-05-08T08:45:34.184420: step 19, loss 71.5099, acc 0.265625
[2018-05-08 08:45:34,917][INFO] ## 2018-05-08T08:45:34.917574: step 20, loss 69.6532, acc 0.375
[2018-05-08 08:45:35,674][INFO] ## 2018-05-08T08:45:35.674159: step 21, loss 72.6196, acc 0.1875
[2018-05-08 08:45:36,417][INFO] ## 2018-05-08T08:45:36.417347: step 22, loss 70.4273, acc 0.265625
[2018-05-08 08:45:37,161][INFO] ## 2018-05-08T08:45:37.161365: step 23, loss 71.8289, acc 0.265625
[2018-05-08 08:45:37,914][INFO] ## 2018-05-08T08:45:37.914512: step 24, loss 70.9374, acc 0.203125
[2018-05-08 08:45:38,672][INFO] ## 2018-05-08T08:45:38.672131: step 25, loss 69.3645, acc 0.40625
[2018-05-08 08:45:39,425][INFO] ## 2018-05-08T08:45:39.425177: step 26, loss 71.4077, acc 0.296875
[2018-05-08 08:45:40,172][INFO] ## 2018-05-08T08:45:40.172600: step 27, loss 71.2758, acc 0.21875
[2018-05-08 08:45:40,926][INFO] ## 2018-05-08T08:45:40.926209: step 28, loss 69.052, acc 0.328125
[2018-05-08 08:45:41,676][INFO] ## 2018-05-08T08:45:41.676608: step 29, loss 69.9857, acc 0.328125
[2018-05-08 08:45:42,472][INFO] ## 2018-05-08T08:45:42.472309: step 30, loss 69.6911, acc 0.265625
[2018-05-08 08:45:43,235][INFO] ## 2018-05-08T08:45:43.235583: step 31, loss 70.0515, acc 0.234375
[2018-05-08 08:45:43,991][INFO] ## 2018-05-08T08:45:43.991764: step 32, loss 66.6319, acc 0.453125
[2018-05-08 08:45:44,742][INFO] ## 2018-05-08T08:45:44.742160: step 33, loss 68.2134, acc 0.296875
[2018-05-08 08:45:45,495][INFO] ## 2018-05-08T08:45:45.495306: step 34, loss 69.7893, acc 0.265625
[2018-05-08 08:45:46,248][INFO] ## 2018-05-08T08:45:46.248523: step 35, loss 68.7414, acc 0.359375
[2018-05-08 08:45:46,991][INFO] ## 2018-05-08T08:45:46.991820: step 36, loss 70.6483, acc 0.25
[2018-05-08 08:45:47,742][INFO] ## 2018-05-08T08:45:47.742220: step 37, loss 71.3236, acc 0.25
[2018-05-08 08:45:48,495][INFO] ## 2018-05-08T08:45:48.495502: step 38, loss 67.8566, acc 0.390625
[2018-05-08 08:45:49,243][INFO] ## 2018-05-08T08:45:49.243545: step 39, loss 70.6793, acc 0.203125
[2018-05-08 08:45:50,006][INFO] ## 2018-05-08T08:45:50.006833: step 40, loss 69.3307, acc 0.296875
[2018-05-08 08:45:50,757][INFO] ## 2018-05-08T08:45:50.757233: step 41, loss 70.4706, acc 0.265625
[2018-05-08 08:45:51,492][INFO] ## 2018-05-08T08:45:51.492536: step 42, loss 68.4481, acc 0.375
[2018-05-08 08:45:52,255][INFO] ## 2018-05-08T08:45:52.255775: step 43, loss 68.3315, acc 0.40625
[2018-05-08 08:45:53,001][INFO] ## 2018-05-08T08:45:53.001930: step 44, loss 66.7925, acc 0.421875
[2018-05-08 08:45:53,752][INFO] ## 2018-05-08T08:45:53.752329: step 45, loss 68.4229, acc 0.375
[2018-05-08 08:45:54,495][INFO] ## 2018-05-08T08:45:54.495578: step 46, loss 69.41, acc 0.328125
[2018-05-08 08:45:55,238][INFO] ## 2018-05-08T08:45:55.238755: step 47, loss 68.2494, acc 0.390625
[2018-05-08 08:45:55,992][INFO] ## 2018-05-08T08:45:55.992327: step 48, loss 69.5144, acc 0.28125
[2018-05-08 08:45:56,754][INFO] ## 2018-05-08T08:45:56.754080: step 49, loss 68.5545, acc 0.296875
[2018-05-08 08:45:57,507][INFO] ## 2018-05-08T08:45:57.507195: step 50, loss 69.5211, acc 0.296875
[2018-05-08 08:45:58,242][INFO] ## 2018-05-08T08:45:58.242903: step 51, loss 68.7133, acc 0.28125
[2018-05-08 08:45:58,996][INFO] ## 2018-05-08T08:45:58.996348: step 52, loss 66.9601, acc 0.359375
[2018-05-08 08:45:59,746][INFO] ## 2018-05-08T08:45:59.746748: step 53, loss 67.1627, acc 0.359375
[2018-05-08 08:46:00,506][INFO] ## 2018-05-08T08:46:00.506012: step 54, loss 67.4111, acc 0.296875
[2018-05-08 08:46:01,259][INFO] ## 2018-05-08T08:46:01.259148: step 55, loss 70.4805, acc 0.21875
[2018-05-08 08:46:02,002][INFO] ## 2018-05-08T08:46:02.002074: step 56, loss 68.1401, acc 0.328125
[2018-05-08 08:46:02,751][INFO] ## 2018-05-08T08:46:02.751266: step 57, loss 68.8895, acc 0.3125
[2018-05-08 08:46:03,503][INFO] ## 2018-05-08T08:46:03.503169: step 58, loss 67.4197, acc 0.28125
[2018-05-08 08:46:04,256][INFO] ## 2018-05-08T08:46:04.256394: step 59, loss 70.8216, acc 0.265625
[2018-05-08 08:46:05,009][INFO] ## 2018-05-08T08:46:05.009430: step 60, loss 69.6022, acc 0.3125
[2018-05-08 08:46:05,756][INFO] ## 2018-05-08T08:46:05.756077: step 61, loss 68.0387, acc 0.3125
[2018-05-08 08:46:06,509][INFO] ## 2018-05-08T08:46:06.509520: step 62, loss 69.5218, acc 0.296875
[2018-05-08 08:46:07,273][INFO] ## 2018-05-08T08:46:07.273445: step 63, loss 68.1204, acc 0.34375
[2018-05-08 08:46:08,065][INFO] ## 2018-05-08T08:46:08.065525: step 64, loss 68.5097, acc 0.296875
[2018-05-08 08:46:08,819][INFO] ## 2018-05-08T08:46:08.819595: step 65, loss 68.7635, acc 0.234375
[2018-05-08 08:46:09,567][INFO] ## 2018-05-08T08:46:09.567554: step 66, loss 67.2837, acc 0.296875
[2018-05-08 08:46:10,313][INFO] ## 2018-05-08T08:46:10.313430: step 67, loss 68.6599, acc 0.21875
[2018-05-08 08:46:11,056][INFO] ## 2018-05-08T08:46:11.056741: step 68, loss 67.6791, acc 0.359375
[2018-05-08 08:46:11,803][INFO] ## 2018-05-08T08:46:11.803645: step 69, loss 68.7213, acc 0.28125
[2018-05-08 08:46:12,556][INFO] ## 2018-05-08T08:46:12.556679: step 70, loss 67.7153, acc 0.359375
[2018-05-08 08:46:13,303][INFO] ## 2018-05-08T08:46:13.303567: step 71, loss 68.9634, acc 0.25
[2018-05-08 08:46:14,056][INFO] ## 2018-05-08T08:46:14.056889: step 72, loss 67.5393, acc 0.3125
[2018-05-08 08:46:14,807][INFO] ## 2018-05-08T08:46:14.807288: step 73, loss 67.6313, acc 0.328125
[2018-05-08 08:46:15,560][INFO] ## 2018-05-08T08:46:15.560434: step 74, loss 68.84, acc 0.21875
[2018-05-08 08:46:16,303][INFO] ## 2018-05-08T08:46:16.303712: step 75, loss 68.2616, acc 0.28125
[2018-05-08 08:46:17,046][INFO] ## 2018-05-08T08:46:17.046866: step 76, loss 70.9142, acc 0.171875
[2018-05-08 08:46:17,789][INFO] ## 2018-05-08T08:46:17.789440: step 77, loss 70.9329, acc 0.203125
[2018-05-08 08:46:18,543][INFO] ## 2018-05-08T08:46:18.543197: step 78, loss 66.7913, acc 0.3125
[2018-05-08 08:46:19,274][INFO] ## 2018-05-08T08:46:19.274061: step 79, loss 68.9835, acc 0.234375
[2018-05-08 08:46:20,017][INFO] ## 2018-05-08T08:46:20.017249: step 80, loss 68.7084, acc 0.28125
[2018-05-08 08:46:20,747][INFO] ## 2018-05-08T08:46:20.747638: step 81, loss 67.8465, acc 0.328125
[2018-05-08 08:46:21,494][INFO] ## 2018-05-08T08:46:21.494582: step 82, loss 68.9701, acc 0.28125
[2018-05-08 08:46:22,257][INFO] ## 2018-05-08T08:46:22.257860: step 83, loss 67.3924, acc 0.390625
[2018-05-08 08:46:23,003][INFO] ## 2018-05-08T08:46:23.003762: step 84, loss 68.5881, acc 0.28125
[2018-05-08 08:46:23,754][INFO] ## 2018-05-08T08:46:23.754163: step 85, loss 68.5105, acc 0.375
[2018-05-08 08:46:24,507][INFO] ## 2018-05-08T08:46:24.507273: step 86, loss 68.6246, acc 0.1875
[2018-05-08 08:46:25,260][INFO] ## 2018-05-08T08:46:25.260602: step 87, loss 68.1167, acc 0.328125
[2018-05-08 08:46:26,013][INFO] ## 2018-05-08T08:46:26.013399: step 88, loss 67.0842, acc 0.34375
[2018-05-08 08:46:26,759][INFO] ## 2018-05-08T08:46:26.759499: step 89, loss 66.6015, acc 0.328125
[2018-05-08 08:46:27,494][INFO] ## 2018-05-08T08:46:27.494169: step 90, loss 67.2299, acc 0.3125
[2018-05-08 08:46:28,237][INFO] ## 2018-05-08T08:46:28.237341: step 91, loss 67.0412, acc 0.359375
[2018-05-08 08:46:28,983][INFO] ## 2018-05-08T08:46:28.983941: step 92, loss 68.6904, acc 0.21875
[2018-05-08 08:46:29,724][INFO] ## 2018-05-08T08:46:29.724336: step 93, loss 67.1576, acc 0.3125
[2018-05-08 08:46:30,477][INFO] ## 2018-05-08T08:46:30.477487: step 94, loss 69.0329, acc 0.21875
[2018-05-08 08:46:31,230][INFO] ## 2018-05-08T08:46:31.230652: step 95, loss 66.851, acc 0.359375
[2018-05-08 08:46:31,990][INFO] ## 2018-05-08T08:46:31.990274: step 96, loss 64.5941, acc 0.375
[2018-05-08 08:46:32,740][INFO] ## 2018-05-08T08:46:32.740659: step 97, loss 67.1971, acc 0.296875
[2018-05-08 08:46:33,490][INFO] ## 2018-05-08T08:46:33.490559: step 98, loss 68.5114, acc 0.265625
[2018-05-08 08:46:34,223][INFO] ## 2018-05-08T08:46:34.223522: step 99, loss 66.1963, acc 0.359375
[2018-05-08 08:46:34,966][INFO] ## 2018-05-08T08:46:34.966769: step 100, loss 66.7845, acc 0.359375
[2018-05-08 08:46:34,966][INFO] ## 
Evaluation:
[2018-05-08 08:47:13,725][INFO] ## dev_loss 1255.81, dev_acc 0.28514, num_dev_batches 18.5312
[2018-05-08 08:47:14,487][INFO] ## 2018-05-08T08:47:14.487021: step 120, loss 68.8141, acc 0.25
[2018-05-08 08:47:15,240][INFO] ## 2018-05-08T08:47:15.240124: step 121, loss 66.101, acc 0.328125
[2018-05-08 08:47:15,986][INFO] ## 2018-05-08T08:47:15.986035: step 122, loss 67.8135, acc 0.203125
[2018-05-08 08:47:16,746][INFO] ## 2018-05-08T08:47:16.746441: step 123, loss 66.2437, acc 0.21875
[2018-05-08 08:47:17,499][INFO] ## 2018-05-08T08:47:17.499504: step 124, loss 67.5533, acc 0.296875
[2018-05-08 08:47:18,252][INFO] ## 2018-05-08T08:47:18.252762: step 125, loss 67.0579, acc 0.3125
[2018-05-08 08:47:19,005][INFO] ## 2018-05-08T08:47:19.005673: step 126, loss 65.3815, acc 0.390625
[2018-05-08 08:47:19,776][INFO] ## 2018-05-08T08:47:19.776083: step 127, loss 65.5001, acc 0.359375
[2018-05-08 08:47:20,509][INFO] ## 2018-05-08T08:47:20.509108: step 128, loss 66.4738, acc 0.25
[2018-05-08 08:47:21,282][INFO] ## 2018-05-08T08:47:21.282242: step 129, loss 64.6166, acc 0.34375
[2018-05-08 08:47:22,045][INFO] ## 2018-05-08T08:47:22.045833: step 130, loss 65.4982, acc 0.328125
[2018-05-08 08:47:22,796][INFO] ## 2018-05-08T08:47:22.796232: step 131, loss 63.28, acc 0.40625
[2018-05-08 08:47:23,549][INFO] ## 2018-05-08T08:47:23.549188: step 132, loss 64.2907, acc 0.34375
[2018-05-08 08:47:24,302][INFO] ## 2018-05-08T08:47:24.302320: step 133, loss 67.0403, acc 0.28125
