[2018-05-07 21:45:43,966][INFO] ## 2018-05-07T21:45:43.966073: step 1, loss 57.4465, acc 0.25
[2018-05-07 21:45:44,786][INFO] ## 2018-05-07T21:45:44.786511: step 2, loss 57.1688, acc 0.25
[2018-05-07 21:45:45,089][INFO] ## 2018-05-07T21:45:45.089407: step 3, loss 54.4103, acc 0.3125
[2018-05-07 21:45:45,379][INFO] ## 2018-05-07T21:45:45.379562: step 4, loss 58.5565, acc 0.171875
[2018-05-07 21:45:45,659][INFO] ## 2018-05-07T21:45:45.659711: step 5, loss 54.9178, acc 0.3125
[2018-05-07 21:45:45,942][INFO] ## 2018-05-07T21:45:45.942533: step 6, loss 55.3124, acc 0.1875
[2018-05-07 21:45:46,232][INFO] ## 2018-05-07T21:45:46.232687: step 7, loss 57.8639, acc 0.109375
[2018-05-07 21:45:46,512][INFO] ## 2018-05-07T21:45:46.512837: step 8, loss 54.8771, acc 0.375
[2018-05-07 21:45:46,802][INFO] ## 2018-05-07T21:45:46.802991: step 9, loss 54.7217, acc 0.34375
[2018-05-07 21:45:47,085][INFO] ## 2018-05-07T21:45:47.085918: step 10, loss 56.2216, acc 0.234375
[2018-05-07 21:45:47,376][INFO] ## 2018-05-07T21:45:47.376072: step 11, loss 54.3636, acc 0.3125
[2018-05-07 21:45:47,666][INFO] ## 2018-05-07T21:45:47.666227: step 12, loss 57.6572, acc 0.21875
[2018-05-07 21:45:47,959][INFO] ## 2018-05-07T21:45:47.959291: step 13, loss 56.3266, acc 0.25
[2018-05-07 21:45:48,239][INFO] ## 2018-05-07T21:45:48.239440: step 14, loss 56.8603, acc 0.1875
[2018-05-07 21:45:48,529][INFO] ## 2018-05-07T21:45:48.529595: step 15, loss 53.3889, acc 0.40625
[2018-05-07 21:45:48,819][INFO] ## 2018-05-07T21:45:48.819749: step 16, loss 54.0367, acc 0.34375
[2018-05-07 21:45:49,092][INFO] ## 2018-05-07T21:45:49.092685: step 17, loss 54.3406, acc 0.390625
[2018-05-07 21:45:49,382][INFO] ## 2018-05-07T21:45:49.382840: step 18, loss 53.8836, acc 0.34375
[2018-05-07 21:45:49,672][INFO] ## 2018-05-07T21:45:49.672994: step 19, loss 54.355, acc 0.359375
[2018-05-07 21:45:49,956][INFO] ## 2018-05-07T21:45:49.956223: step 20, loss 53.436, acc 0.375
[2018-05-07 21:45:50,236][INFO] ## 2018-05-07T21:45:50.236372: step 21, loss 56.2966, acc 0.234375
[2018-05-07 21:45:50,526][INFO] ## 2018-05-07T21:45:50.526527: step 22, loss 52.3786, acc 0.375
[2018-05-07 21:45:50,806][INFO] ## 2018-05-07T21:45:50.806676: step 23, loss 56.1228, acc 0.28125
[2018-05-07 21:45:51,089][INFO] ## 2018-05-07T21:45:51.089586: step 24, loss 54.2187, acc 0.28125
[2018-05-07 21:45:51,379][INFO] ## 2018-05-07T21:45:51.379741: step 25, loss 55.1548, acc 0.28125
[2018-05-07 21:45:51,669][INFO] ## 2018-05-07T21:45:51.669895: step 26, loss 56.3402, acc 0.1875
[2018-05-07 21:45:51,956][INFO] ## 2018-05-07T21:45:51.956376: step 27, loss 52.8432, acc 0.390625
[2018-05-07 21:45:52,246][INFO] ## 2018-05-07T21:45:52.246530: step 28, loss 54.8365, acc 0.171875
[2018-05-07 21:45:52,526][INFO] ## 2018-05-07T21:45:52.526679: step 29, loss 53.8719, acc 0.328125
[2018-05-07 21:45:52,816][INFO] ## 2018-05-07T21:45:52.816835: step 30, loss 53.2573, acc 0.359375
[2018-05-07 21:45:53,099][INFO] ## 2018-05-07T21:45:53.099656: step 31, loss 53.9289, acc 0.359375
[2018-05-07 21:45:53,389][INFO] ## 2018-05-07T21:45:53.389811: step 32, loss 55.1198, acc 0.21875
[2018-05-07 21:45:53,669][INFO] ## 2018-05-07T21:45:53.669960: step 33, loss 54.2982, acc 0.28125
[2018-05-07 21:45:53,956][INFO] ## 2018-05-07T21:45:53.956321: step 34, loss 56.366, acc 0.21875
[2018-05-07 21:45:54,236][INFO] ## 2018-05-07T21:45:54.236470: step 35, loss 54.6001, acc 0.28125
[2018-05-07 21:45:54,526][INFO] ## 2018-05-07T21:45:54.526625: step 36, loss 53.2844, acc 0.34375
[2018-05-07 21:45:54,806][INFO] ## 2018-05-07T21:45:54.806774: step 37, loss 54.6031, acc 0.328125
[2018-05-07 21:45:55,100][INFO] ## 2018-05-07T21:45:55.100224: step 38, loss 54.4938, acc 0.234375
[2018-05-07 21:45:55,390][INFO] ## 2018-05-07T21:45:55.390379: step 39, loss 54.9356, acc 0.3125
